,,,,,,,,,,,,,,,,,,,,,,,
Sr No.,Problem Statement,Link for Proof(PDF),Assumptions Used,Hallucination Error (HA) (yes/no),Missing Step (MS) (yes/no),Operator Error (OP) (yes/no),Completeness Score (0–5),Assumption Use Score (0–5),"Any fix required (None, Minor, Major, Rewrite)",Reviewer Name,Algo name (for reference only),Link for Regenerated Proof(PDF),Hallucination Error (HA) (yes/no),Missing Step (MS) (yes/no),Operator Error (OP) (yes/no),Completeness Score (0–5),Assumption Use Score (0–5),Overall Score (0–5),Model for evaluation,Link for Proof Evaluation (PDF),Comments on LLM Judge,Score for LLM Judge (0-5),
1,The algorithm iteratively updates the parameters by computing gradients on randomly sampled minibatches and taking a step in the negative gradient direction with a fixed step size.,t2.pdf,strongly convex and smooth functions,no,no,no,5,5,None,Geetika,Minibatch SGD ,,,,,,,,,,Remark: Did the proof with a different style not seen anywhere by me.,,
,,t2.pdf,strongly convex and smooth functions,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,t2.pdf,strongly convex and smooth functions,no,no,yes,5,5,Minor,Gpt5 plus,,,,,,,,,,,"function-value rate at η⋆\eta^\starη⋆ should be (L−μL+μ)2t\big(\tfrac{L-\mu}{L+\mu}\big)^{2t}(L+μL−μ​)2t (up to constants), not (L−μL+μ)t\big(\tfrac{L-\mu}{L+\mu}\big)^{t}(L+μL−μ​)t, given the presented argument.",,
,,,,no,no,no,5,5,none,qwen3,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,https://drive.google.com/file/d/13jzB07MT_RkL1h0g7LiqwldUemYM8sYP/view?usp=sharing,strongly convex and non-smooth functions,no,no,no,5,5,none,GPT5plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,qwen3,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,https://drive.google.com/file/d/1vioYlqhbTE7ztZOzR_oSFcFUY32bB_9Q/view?usp=sharing,Convex and smooth functions,no,no,no,5,4,Minor,Gpt5 plus,,,,,,,,,,,"entirely correct usage; one assumption (L-smoothness) is unnecessary in the convex theorem statement (though used later), and the restriction “𝜌 ≥ 𝐿” in Assumption 4 is stronger than strictly needed",,
,,,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Qwen3,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
,,https://drive.google.com/file/d/1zFWNqZJB-f6Wvz6CX1nTG2kEsv6sAo1D/view?usp=sharing,Convex and non-smooth functions,no,no,no,5,5,none,Gpt5 plus,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Grok,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,Qwen3,,,,,,,,,,,,,
,,,,no,no,no,5,5,none,gemini 2.5 pro,,,,,,,,,,,,,
