Task_ID,Problem Statement,Assumptions Used,Hallucination_Error,Missing_Step,Operator_Error,Completeness_Score,Assumption_Score,Verdict,Overall_Score,Converged,Model_Used
B005,The algorithm iteratively updates the parameters by computing gradients on randomly sampled minibatches and taking a step in the negative gradient direction with a fixed step size.,Non-convex and smooth functions,no,no,yes,5,5,PASS,5,TRUE,openai_gpt_5
B016,The algorithm iteratively updates the parameters by computing a subgradient using a single randomly sampled data point and taking a step in the negative subgradient direction. It is designed for convex and Lipschitz objective functions.,Non-convex and smooth functions,yes,no,yes,4,4,CONDITIONAL,3,FALSE,openai_gpt_5
B029,The algorithm iteratively updates the full parameter vector by computing the gradient along a randomly selected coordinate direction at each step. It uses this coordinate-wise gradient information to determine the update direction and step size for the entire parameter vector. It is designed for functions satisfying the Polyak-Łojasiewicz condition that are smooth with respect to individual coordinates.,Polyak-Lojasiewicz and smooth functions,no,yes,yes,4,4,PASS_MINOR,4,TRUE,openai_gpt_5
B029,The algorithm iteratively updates parameters by computing stochastic gradients on random data points and applying a proximal operation to the updated iterate. It is designed for convex and smooth objective functions.,convex and smooth functions,no,yes,no,4,5,PASS,4,TRUE,openai_gpt_5
B037,"The algorithm iteratively updates parameters by taking gradient steps and projecting the result back onto the constraint set at each iteration. It is designed for smooth convex optimization problems with closed, convex and bounded constraint domains.",smooth and convex functions for Constrained minimization problem with closed convex and bounded domain,no,yes,yes,3,4,CONDITIONAL,3,TRUE,openai_gpt_5
V2_13,"The algorithm maintains exponential moving averages m_t and v_t. Update includes bias correction. Crucially, uses v_t_hat = max(v_t_hat_{t-1}, v_t) to ensure monotonicity.",Non-Convex and Smooth functions (AMSGrad),no,no,yes,4,4,PASS_MINOR,4,TRUE,openai_gpt_5
V2_21,The algorithm updates x_{k+1} = prox_{eta*g}(x_k - eta * grad(f)(x_k)). Proof must utilize the non-expansiveness of the proximal operator.,Convex and Smooth functions,no,yes,yes,4,3,CONDITIONAL,3.5,TRUE,openai_gpt_5
V2_28,The algorithm selects coordinate i_k with probability p_i. Update only affects coordinate i_k. Proof must weight expectations by 1/p_i.,Non-Convex and Coordinate-wise Smooth functions (Coordinate Descent),yes,no,no,5,4,PASS_MINOR,4,TRUE,openai_gpt_5
V2_36,"The algorithm clips gradients: g_t = grad(f)(x_t) / max(1, ||grad(f)(x_t)||/C). Update uses clipped g_t. Uses momentum on clipped gradients.",Non-Convex and Smooth functions (Clipped Adam),no,yes,yes,4,4.5,PASS_MINOR,4.5,TRUE,openai_gpt_5
V2_49,The algorithm maintains a running average of squared gradients v_t = beta * v_{t-1} + (1-beta) * g_t^2. Step size is alpha / sqrt(v_t).,Non-Convex and Smooth functions (RMSProp),no,yes,no,4,4,PASS_MINOR,4,TRUE,openai_gpt_5
V2_63,The algorithm uses a sparse gradient operator: only top-K largest magnitude gradients are communicated. Uses error feedback.,Non-Convex and Smooth functions (Top-K EF-SGD),no,yes,yes,3.5,3.5,CONDITIONAL,3.5,TRUE,openai_gpt_5
B038,"The algorithm updates parameters based on online gradients from sequential data, aiming for sublinear regret rather than convergence to a fixed point.",Strongly convex online functions,no,no,no,4.5,4,PASS_MINOR,4.3,TRUE,openai_gpt_5
V2_01,"The algorithm maintains two sequences x_k and y_k. Update: y_k = x_k + beta_k(x_k - x_{k-1}), x_{k+1} = y_k - alpha * grad(f)(y_k). Uses specific momentum scheduling beta_k = (sqrt(L) - sqrt(mu))/(sqrt(L) + sqrt(mu)).",Strongly Convex and Smooth functions,yes,yes,yes,2,3,FAIL,2.5,TRUE,anthropic_claude_opus_4_8
V2_07,The algorithm uses a double-loop structure. Outer loop updates full gradient. Inner loop performs m SGD steps using variance-reduced estimator v_t = grad(f)(x_t) - grad(f)(x_t-1) + full_grad.,Non-Convex and Smooth functions (SVRG),no,yes,yes,3,3.5,CONDITIONAL,3.5,TRUE,anthropic_claude_opus_4_8
V2_18,The algorithm performs local SGD steps on K clients for E epochs before averaging central model. Analysis must account for client drift term delta.,Non-Convex and Smooth functions (Federated Averaging),no,yes,yes,3.5,4,CONDITIONAL,3.5,TRUE,anthropic_claude_opus_4_8
V2_43,"The algorithm minimizes max_x min_y L(x,y). Uses extra gradient step: x_{k+1/2} = x_k + step, then x_{k+1} using grad at x_{k+1/2}.",Convex-Concave Smooth functions (Extra-Gradient),no,yes,yes,3.5,4.5,PASS_MINOR,4,TRUE,anthropic_claude_opus_4_8
