Task_ID,Problem Statement,Assumptions Used,Algorithm_Family,Key_Proof_Technique,Source,References
V2_01,"The algorithm maintains two sequences x_k and y_k. Update: y_k = x_k + beta_k(x_k - x_{k-1}), x_{k+1} = y_k - alpha * grad(f)(y_k). Uses specific momentum scheduling beta_k = (sqrt(L) - sqrt(mu))/(sqrt(L) + sqrt(mu)).",Strongly Convex and Smooth functions,Nesterov Momentum,Estimate Sequences / Lyapunov,"Nesterov, ""Introductory Lectures on Convex Optimization"", Thm 2.2.2 & 2.2.3","Nesterov, 'Introductory Lectures on Convex Optimization', Thm 2.2.2; https://link.springer.com/book/10.1007/978-1-4419-8853-9"
V2_02,"The algorithm maintains two sequences x_k and y_k. Update: y_k = x_k + beta_k(x_k - x_{k-1}), x_{k+1} = y_k - alpha * grad(f)(y_k). Uses specific momentum scheduling beta_k = (k-1)/(k+2).",Convex and Smooth functions,Nesterov Momentum,Estimate Sequences / Lyapunov,"Nesterov, ""Introductory Lectures on Convex Optimization"", Thm 2.2.2 & 2.2.3","Nesterov, 'Introductory Lectures on Convex Optimization', Thm 2.2.2; https://link.springer.com/book/10.1007/978-1-4419-8853-9"
V2_03,"The algorithm maintains two sequences x_k and y_k. Update: y_k = x_k + beta_k(x_k - x_{k-1}), x_{k+1} = y_k - alpha * grad(f)(y_k). Uses specific momentum scheduling beta_k = (k-1)/(k+2).",Non-Convex and Smooth functions,Nesterov Momentum,Estimate Sequences / Lyapunov,"Nesterov, ""Introductory Lectures on Convex Optimization"", Thm 2.2.2 & 2.2.3","Nesterov, 'Introductory Lectures on Convex Optimization', Thm 2.2.2; https://link.springer.com/book/10.1007/978-1-4419-8853-9"
V2_04,"The algorithm updates parameters via x_{k+1} = argmin_x { <grad(f)(x_k), x> + (1/eta_k) * D_h(x, x_k) } where D_h is the Bregman divergence of a strongly convex prox-function h.",Convex and Smooth functions with respect to D_h,Mirror Descent,Bregman Divergence 3-Point Lemma,"Beck, ""First-Order Methods in Optimization"", Ch. 9","Beck, 'First-Order Methods in Optimization', Ch. 9; https://doi.org/10.1137/1.9781611974997"
V2_05,"The algorithm updates parameters via x_{k+1} = argmin_x { <grad(f)(x_k), x> + (1/eta_k) * D_h(x, x_k) } where D_h is the Bregman divergence of a strongly convex prox-function h.",Non-Convex and Smooth functions with respect to D_h,Mirror Descent,Bregman Divergence 3-Point Lemma,"Beck, ""First-Order Methods in Optimization"", Ch. 9","Beck, 'First-Order Methods in Optimization', Ch. 9; https://doi.org/10.1137/1.9781611974997"
V2_06,The algorithm uses a double-loop structure. Outer loop updates full gradient. Inner loop performs m SGD steps using variance-reduced estimator v_t = grad(f)(x_t) - grad(f)(x_t-1) + full_grad.,Strongly Convex and Smooth functions (SVRG),SVRG,Variance Reduction Lemma (Inner Loop),"Johnson & Zhang, ""Accelerating Stochastic Gradient Descent"", NIPS 2013","Johnson & Zhang, 'Accelerating Stochastic Gradient Descent', NIPS 2013; https://proceedings.neurips.cc/paper/2013/hash/ac1dd209cbcc5e5d1c6e28598e8cbbe8-Abstract.html"
V2_07,The algorithm uses a double-loop structure. Outer loop updates full gradient. Inner loop performs m SGD steps using variance-reduced estimator v_t = grad(f)(x_t) - grad(f)(x_t-1) + full_grad.,Non-Convex and Smooth functions (SVRG),SVRG,Variance Reduction Lemma (Inner Loop),"Johnson & Zhang, ""Accelerating Stochastic Gradient Descent"", NIPS 2013","Johnson & Zhang, 'Accelerating Stochastic Gradient Descent', NIPS 2013; https://proceedings.neurips.cc/paper/2013/hash/ac1dd209cbcc5e5d1c6e28598e8cbbe8-Abstract.html"
V2_08,The algorithm uses a double-loop structure. Outer loop updates full gradient. Inner loop performs m SGD steps using variance-reduced estimator v_t = grad(f)(x_t) - grad(f)(x_t-1) + full_grad.,PL and Smooth functions (SVRG),SVRG,Variance Reduction Lemma (Inner Loop),"Johnson & Zhang, ""Accelerating Stochastic Gradient Descent"", NIPS 2013","Johnson & Zhang, 'Accelerating Stochastic Gradient Descent', NIPS 2013; https://proceedings.neurips.cc/paper/2013/hash/ac1dd209cbcc5e5d1c6e28598e8cbbe8-Abstract.html"
V2_09,The algorithm maintains a table of past gradients phi_i. Update: x_{k+1} = x_k - alpha * (grad(f_i)(x_k) - grad(f_i)(phi_i) + average_table_gradient). Table updated randomly.,Convex and Smooth functions (SAGA),SAGA,Table Variance Control,"Defazio et al., ""SAGA: A Fast Incremental Gradient Method"", NIPS 2014","Defazio et al., 'SAGA: A Fast Incremental Gradient Method', NIPS 2014; https://arxiv.org/abs/1407.0202"
V2_10,The algorithm maintains a table of past gradients phi_i. Update: x_{k+1} = x_k - alpha * (grad(f_i)(x_k) - grad(f_i)(phi_i) + average_table_gradient). Table updated randomly.,Non-Convex and Smooth functions (SAGA),SAGA,Table Variance Control,"Defazio et al., ""SAGA: A Fast Incremental Gradient Method"", NIPS 2014","Defazio et al., 'SAGA: A Fast Incremental Gradient Method', NIPS 2014; https://arxiv.org/abs/1407.0202"
V2_11,The algorithm maintains a recursive variance estimator v_t = (1-alpha)v_{t-1} + alpha * grad(f)(x_t). Step size depends on norm of v_t. Uses bias correction.,Non-Convex and Smooth functions (SARAH/SPIDER),SARAH/SPIDER,Recursive Variance Bound,"Fang et al., ""SPIDER: Near-Optimal Non-Convex Optimization"", NIPS 2018","Fang et al., 'SPIDER: Near-Optimal Non-Convex Optimization', NIPS 2018; https://arxiv.org/abs/1807.01695"
V2_12,The algorithm maintains a recursive variance estimator v_t = (1-alpha)v_{t-1} + alpha * grad(f)(x_t). Step size depends on norm of v_t. Uses bias correction.,PL and Smooth functions (SARAH/SPIDER),SARAH/SPIDER,Recursive Variance Bound,"Fang et al., ""SPIDER: Near-Optimal Non-Convex Optimization"", NIPS 2018","Fang et al., 'SPIDER: Near-Optimal Non-Convex Optimization', NIPS 2018; https://arxiv.org/abs/1807.01695"
V2_13,"The algorithm maintains exponential moving averages m_t and v_t. Update includes bias correction. Crucially, uses v_t_hat = max(v_t_hat_{t-1}, v_t) to ensure monotonicity.",Non-Convex and Smooth functions (AMSGrad),AMSGrad,Monotonic Second Moment Bound,"Reddi et al., ""On the Convergence of Adam and Beyond"", ICLR 2018","Reddi et al., 'On the Convergence of Adam and Beyond', ICLR 2018; https://openreview.net/forum?id=ryQu7f-RZ"
V2_14,The algorithm maintains exponential moving averages m_t and v_t. Update includes bias correction. Weight decay is applied directly to parameters before gradient step.,Non-Convex and Smooth functions (AdamW),AdamW,Decoupled Decay Analysis,"Loshchilov & Hutter, ""Decoupled Weight Decay Regularization"", ICLR 2019","Loshchilov & Hutter, 'Decoupled Weight Decay Regularization', ICLR 2019; https://arxiv.org/abs/1711.05101"
V2_15,The algorithm updates parameters using only the sign of the gradient: x_{k+1} = x_k - alpha * sign(g_t). Convergence relies on median-based variance bounds.,Non-Convex and Smooth functions (SignSGD),SignSGD,Median Variance Bound,"Bernstein et al., ""signSGD: Compressed Optimisation"", ICML 2018","Bernstein et al., 'signSGD: Compressed Optimisation', ICML 2018; https://arxiv.org/abs/1802.04434"
V2_16,The algorithm updates parameters using only the sign of the gradient: x_{k+1} = x_k - alpha * sign(g_t). Uses momentum on the signed gradients.,Non-Convex and Smooth functions (SignSGD with Momentum),SignSGD,Median Variance Bound,"Bernstein et al., ""signSGD: Compressed Optimisation"", ICML 2018","Bernstein et al., 'signSGD: Compressed Optimisation', ICML 2018; https://arxiv.org/abs/1802.04434"
V2_17,The algorithm performs local SGD steps on K clients for E epochs before averaging central model. Analysis must account for client drift term delta.,Convex and Smooth functions (Federated Averaging),FedAvg,Client Drift Analysis,"Khaled et al., ""Tighter Theory for Local SGD"", AISTATS 2020","Khaled et al., 'Tighter Theory for Local SGD', AISTATS 2020; https://arxiv.org/abs/1909.04746"
V2_18,The algorithm performs local SGD steps on K clients for E epochs before averaging central model. Analysis must account for client drift term delta.,Non-Convex and Smooth functions (Federated Averaging),FedAvg,Client Drift Analysis,"Khaled et al., ""Tighter Theory for Local SGD"", AISTATS 2020","Khaled et al., 'Tighter Theory for Local SGD', AISTATS 2020; https://arxiv.org/abs/1909.04746"
V2_19,The algorithm performs local SGD steps on K clients for E epochs. Clients minimize local objective + (mu/2)||x - x_global||^2 before averaging.,Non-Convex and Smooth functions (FedProx),FedProx,Proximal Drift Control,"Li et al., ""Federated Optimization in Heterogeneous Networks"", MLSys 2020","Li et al., 'Federated Optimization in Heterogeneous Networks', MLSys 2020; https://arxiv.org/abs/1812.06127"
V2_20,The algorithm performs local SGD steps on K clients for E epochs. Clients minimize local objective + (mu/2)||x - x_global||^2 before averaging.,Convex and Smooth functions (FedProx),FedProx,Proximal Drift Control,"Li et al., ""Federated Optimization in Heterogeneous Networks"", MLSys 2020","Li et al., 'Federated Optimization in Heterogeneous Networks', MLSys 2020; https://arxiv.org/abs/1812.06127"
