Category,Task_ID,Problem Statement,Assumptions Used
"Stochastic Gradient Descent (SGD) Variants (Basic inequality chains: variance bounds, descent lemmas)",B001,The algorithm iteratively updates the parameters by computing gradients on randomly sampled minibatches and taking a step in the negative gradient direction with a fixed step size.,Strongly convex and smooth functions
,B002,The algorithm iteratively updates the parameters by computing gradients on randomly sampled minibatches and taking a step in the negative gradient direction with a fixed step size.,Strongly convex and non-smooth functions
,B003,The algorithm iteratively updates the parameters by computing gradients on randomly sampled minibatches and taking a step in the negative gradient direction with a fixed step size.,Convex and smooth functions
,B004,The algorithm iteratively updates the parameters by computing gradients on randomly sampled minibatches and taking a step in the negative gradient direction with a fixed step size.,Convex and non-smooth functions
,B005,The algorithm iteratively updates the parameters by computing gradients on randomly sampled minibatches and taking a step in the negative gradient direction with a fixed step size.,Non-convex and smooth functions
,B006,The algorithm iteratively updates the parameters by computing gradients on randomly sampled minibatches and taking a step in the negative gradient direction with a fixed step size.,Non-convex and non-smooth functions
,B007,The algorithm iteratively updates the parameters by computing gradients on randomly sampled minibatches and taking a step in the negative gradient direction with a fixed step size.,Polyak-Łojasiewicz (PL) and smooth functions
,B008,The algorithm iteratively updates the parameters by computing gradients on randomly sampled minibatches and taking a step in the negative gradient direction with a fixed step size.,Polyak-Łojasiewicz (PL) and non-smooth functions
,B009,The algorithm iteratively updates the parameters by computing gradients on randomly sampled minibatches and taking a step in the negative gradient direction with a fixed step size.,Weakly convex and smooth functions
,B010,The algorithm iteratively updates the parameters by computing gradients on randomly sampled minibatches and taking a step in the negative gradient direction with a fixed step size.,Weakly convex and non-smooth functions
Subgradient Methods (Handles non-differentiability: subgradient inequalities),B011,The algorithm iteratively updates the parameters by computing a subgradient using a single randomly sampled data point and taking a step in the negative subgradient direction. It is designed for convex and Lipschitz objective functions.,Convex and Lipschitz functions
,B012,The algorithm iteratively updates the parameters by computing a subgradient using a single randomly sampled data point and taking a step in the negative subgradient direction. It is designed for convex and Lipschitz objective functions.,Strongly convex and smooth functions
,B013,The algorithm iteratively updates the parameters by computing a subgradient using a single randomly sampled data point and taking a step in the negative subgradient direction. It is designed for convex and Lipschitz objective functions.,Strongly convex and non-smooth functions
