Task_ID,Problem Statement,Assumptions Used,Algorithm_Family,Key_Proof_Technique,Source,References,Processing_Status,Error_Message,Processing_Time_Seconds,V1_Hallucination_Error,V1_Missing_Step,V1_Operator_Error,V1_Completeness_Score,V1_Assumption_Score,V1_Verdict,V2_Hallucination_Error,V2_Missing_Step,V2_Operator_Error,V2_Completeness_Score,V2_Assumption_Score,V2_Verdict,Overall_Score,Total_Iterations,Converged,CRS_Iter_1,CRS_Iter_2,CRS_Iter_3,CRS_Final,ERR_Final,RP_Final,TFP_Final,Total_Errors_V1,Total_Errors_Final,Errors_Fixed,Errors_Introduced,Net_Improvement,Num_Judges,Mean_JRS,Outlier_Judges,Judge_Agreement_ESA,Weighted_CFRS,Initial_Proof_Length,Final_Proof_Length,Proof_Length_Growth,Final_Feedback_Preview,Provider_Used,Model_Used,Judge_Verdict_Variance,Is_Split_Verdict
V2_01,"The algorithm maintains two sequences x_k and y_k. Update: y_k = x_k + beta_k(x_k - x_{k-1}), x_{k+1} = y_k - alpha * grad(f)(y_k). Uses specific momentum scheduling beta_k = (sqrt(L) - sqrt(mu))/(sqrt(L) + sqrt(mu)).",Strongly Convex and Smooth functions,Nesterov Momentum,Estimate Sequences / Lyapunov,"Nesterov, ""Introductory Lectures on Convex Optimization"", Thm 2.2.2 & 2.2.3","Nesterov, 'Introductory Lectures on Convex Optimization', Thm 2.2.2; https://link.springer.com/book/10.1007/978-1-4419-8853-9",COMPLETED,,269.05,no,yes,no,2,3,FAIL,no,yes,no,2,3,FAIL,2,1,False,0.36,0.0,0.0,0.36,0.0,0.0,1.0,1,1,0,1,-1,3,-0.271,,0.0,0.5,4428,4428,0,"=== CONSENSUS: FAIL ===
Mean Completeness: 2.00
Mean Assumption Score: 3.00
Outlier Judges: none

--- judge_0 (openai/gpt-oss-120b, JRS=0.064) ---
A. **Convergence Rate Extraction** – The proof states...",openrouter,deepseek/deepseek-r1-distill-qwen-32b,0.0,False
V2_02,"The algorithm maintains two sequences x_k and y_k. Update: y_k = x_k + beta_k(x_k - x_{k-1}), x_{k+1} = y_k - alpha * grad(f)(y_k). Uses specific momentum scheduling beta_k = (k-1)/(k+2).",Convex and Smooth functions,Nesterov Momentum,Estimate Sequences / Lyapunov,"Nesterov, ""Introductory Lectures on Convex Optimization"", Thm 2.2.2 & 2.2.3","Nesterov, 'Introductory Lectures on Convex Optimization', Thm 2.2.2; https://link.springer.com/book/10.1007/978-1-4419-8853-9",COMPLETED,,579.06,yes,yes,no,2,2,FAIL,no,yes,yes,1,1,FAIL,2,3,False,0.267,0.608,0.058,0.058,0.0,0.667,0.167,4,6,0,2,-2,3,0.01,,0.0,0.2,5685,9171,3486,"=== CONSENSUS: FAIL ===
Mean Completeness: 1.00
Mean Assumption Score: 1.00
Outlier Judges: none

--- judge_0 (openai/gpt-oss-120b, JRS=0.047) ---
Issue‑by‑issue assessment:
- [Step3] Descent lemma is...",openrouter,deepseek/deepseek-r1-distill-qwen-32b,0.0,False
V2_14,The algorithm maintains exponential moving averages m_t and v_t. Update includes bias correction. Weight decay is applied directly to parameters before gradient step.,Non-Convex and Smooth functions (AdamW),AdamW,Decoupled Decay Analysis,"Loshchilov & Hutter, ""Decoupled Weight Decay Regularization"", ICLR 2019","Loshchilov & Hutter, 'Decoupled Weight Decay Regularization', ICLR 2019; https://arxiv.org/abs/1711.05101",COMPLETED,,373.52,yes,yes,yes,1,1,FAIL,yes,yes,yes,1,1,FAIL,2,3,False,0.117,1.0,0.64,0.64,1.0,1.0,0.5,5,6,0,5,-5,3,0.026,,0.0,0.2,2078,4700,2622,"=== CONSENSUS: FAIL ===
Mean Completeness: 1.00
Mean Assumption Score: 1.00
Outlier Judges: none

--- judge_0 (openai/gpt-oss-120b, JRS=0.071) ---
The corrected proof (V2) does not resolve the core de...",openrouter,deepseek/deepseek-r1-distill-qwen-32b,0.0,False
V2_06,The algorithm uses a double-loop structure. Outer loop updates full gradient. Inner loop performs m SGD steps using variance-reduced estimator v_t = grad(f)(x_t) - grad(f)(x_t-1) + full_grad.,Strongly Convex and Smooth functions (SVRG),SVRG,Variance Reduction Lemma (Inner Loop),"Johnson & Zhang, ""Accelerating Stochastic Gradient Descent"", NIPS 2013","Johnson & Zhang, 'Accelerating Stochastic Gradient Descent', NIPS 2013; https://proceedings.neurips.cc/paper/2013/hash/ac1dd209cbcc5e5d1c6e28598e8cbbe8-Abstract.html",COMPLETED,,689.72,yes,yes,yes,2,2,FAIL,yes,yes,yes,1,2,FAIL,2,3,False,0.25,0.733,0.192,0.192,0.0,1.0,0.6,8,4,0,3,-3,3,-0.123,,0.0,0.333,6621,7152,531,"=== CONSENSUS: FAIL ===
Mean Completeness: 1.33
Mean Assumption Score: 2.00
Outlier Judges: none

--- judge_0 (openai/gpt-oss-120b, JRS=-0.007) ---
Issue-by-issue resolution status:
- [Step 1] Convexi...",openrouter,deepseek/deepseek-r1-distill-qwen-32b,0.0,False
V2_07,The algorithm uses a double-loop structure. Outer loop updates full gradient. Inner loop performs m SGD steps using variance-reduced estimator v_t = grad(f)(x_t) - grad(f)(x_t-1) + full_grad.,Non-Convex and Smooth functions (SVRG),SVRG,Variance Reduction Lemma (Inner Loop),"Johnson & Zhang, ""Accelerating Stochastic Gradient Descent"", NIPS 2013","Johnson & Zhang, 'Accelerating Stochastic Gradient Descent', NIPS 2013; https://proceedings.neurips.cc/paper/2013/hash/ac1dd209cbcc5e5d1c6e28598e8cbbe8-Abstract.html",COMPLETED,,510.64,yes,yes,yes,1,2,FAIL,no,yes,yes,2,2,FAIL,2,2,False,0.175,1.0,0.0,1.0,1.0,0.0,1.0,4,0,3,0,3,3,-0.161,,0.0,0.433,8864,9699,835,"=== CONSENSUS: FAIL ===
Mean Completeness: 2.00
Mean Assumption Score: 2.33
Outlier Judges: none

--- judge_0 (openai/gpt-oss-120b, JRS=-0.127) ---
The corrected proof (V2) does not resolve the fundam...",openrouter,deepseek/deepseek-r1-distill-qwen-32b,0.0,False
V2_11,The algorithm maintains a recursive variance estimator v_t = (1-alpha)v_{t-1} + alpha * grad(f)(x_t). Step size depends on norm of v_t. Uses bias correction.,Non-Convex and Smooth functions (SARAH/SPIDER),SARAH/SPIDER,Recursive Variance Bound,"Fang et al., ""SPIDER: Near-Optimal Non-Convex Optimization"", NIPS 2018","Fang et al., 'SPIDER: Near-Optimal Non-Convex Optimization', NIPS 2018; https://arxiv.org/abs/1807.01695",COMPLETED,,667.99,yes,yes,yes,2,3,FAIL,yes,yes,yes,1,1,FAIL,2,3,False,0.48,0.48,0.16,0.16,0.0,0.333,0.429,0,9,0,1,-1,3,-0.105,,0.0,0.233,5989,6144,155,"=== CONSENSUS: FAIL ===
Mean Completeness: 1.33
Mean Assumption Score: 1.00
Outlier Judges: none

--- judge_0 (openai/gpt-oss-120b, JRS=-0.054) ---
Issue‑by‑issue assessment:
- Bias‑corrected variance...",openrouter,deepseek/deepseek-r1-distill-qwen-32b,0.0,False
V2_17,The algorithm performs local SGD steps on K clients for E epochs before averaging central model. Analysis must account for client drift term delta.,Convex and Smooth functions (Federated Averaging),FedAvg,Client Drift Analysis,"Khaled et al., ""Tighter Theory for Local SGD"", AISTATS 2020","Khaled et al., 'Tighter Theory for Local SGD', AISTATS 2020; https://arxiv.org/abs/1909.04746",COMPLETED,,374.42,yes,yes,yes,1,2,FAIL,yes,yes,yes,1,2,FAIL,2,3,False,0.187,0.453,0.187,0.187,0.0,0.333,0.5,2,10,0,1,-1,3,-0.052,,0.0,0.3,2526,5079,2553,"=== CONSENSUS: FAIL ===
Mean Completeness: 1.00
Mean Assumption Score: 2.00
Outlier Judges: none

--- judge_0 (openai/gpt-oss-120b, JRS=0.188) ---
Issue-by-issue resolution:
- [Step 1] Assumptions are...",openrouter,deepseek/deepseek-r1-distill-qwen-32b,0.0,False
V2_18,The algorithm performs local SGD steps on K clients for E epochs before averaging central model. Analysis must account for client drift term delta.,Non-Convex and Smooth functions (Federated Averaging),FedAvg,Client Drift Analysis,"Khaled et al., ""Tighter Theory for Local SGD"", AISTATS 2020","Khaled et al., 'Tighter Theory for Local SGD', AISTATS 2020; https://arxiv.org/abs/1909.04746",COMPLETED,,297.26,yes,yes,yes,2,3,FAIL,yes,yes,yes,2,2,FAIL,2,2,False,0.3,1.0,0.0,1.0,1.0,0.0,1.0,3,0,3,0,3,3,-0.161,,0.0,0.433,3823,5239,1416,"=== CONSENSUS: FAIL ===
Mean Completeness: 2.00
Mean Assumption Score: 2.33
Outlier Judges: none

--- judge_0 (openai/gpt-oss-120b, JRS=-0.127) ---
Issue-by-issue assessment:
- [Step1] Drift dynamics:...",openrouter,deepseek/deepseek-r1-distill-qwen-32b,0.0,False
V2_19,The algorithm performs local SGD steps on K clients for E epochs. Clients minimize local objective + (mu/2)||x - x_global||^2 before averaging.,Non-Convex and Smooth functions (FedProx),FedProx,Proximal Drift Control,"Li et al., ""Federated Optimization in Heterogeneous Networks"", MLSys 2020","Li et al., 'Federated Optimization in Heterogeneous Networks', MLSys 2020; https://arxiv.org/abs/1812.06127",COMPLETED,,548.63,yes,yes,yes,2,1,FAIL,yes,yes,yes,2,3,FAIL,2,3,False,0.187,0.4,0.124,0.124,0.0,0.333,0.333,7,9,0,1,-1,3,0.09,,0.0,0.5,6111,7604,1493,"=== CONSENSUS: FAIL ===
Mean Completeness: 2.00
Mean Assumption Score: 3.00
Outlier Judges: none

--- judge_0 (openai/gpt-oss-120b, JRS=0.217) ---
Issue 1 (gradient alignment): V2 still writes an equa...",openrouter,deepseek/deepseek-r1-distill-qwen-32b,0.0,False
V2_41,"The algorithm minimizes max_x min_y L(x,y). Updates x via gradient ascent and y via gradient descent with same step size.",Convex-Concave Smooth functions (Gradient Descent Ascent),Minimax (GDA/EG),Variational Inequality / Minty,"Korpelevich, ""The Extragradient Method"", 1976; Daskalakis et al., 2018","Korpelevich, 1976 / Daskalakis et al., 2018; https://arxiv.org/abs/1711.00141",COMPLETED,,310.82,yes,yes,yes,2,3,FAIL,no,yes,yes,2,2,FAIL,2,2,False,0.3,1.0,0.0,1.0,1.0,0.0,1.0,4,0,3,0,3,3,-0.138,,0.0,0.433,3958,5131,1173,"=== CONSENSUS: FAIL ===
Mean Completeness: 2.00
Mean Assumption Score: 2.33
Outlier Judges: none

--- judge_0 (openai/gpt-oss-120b, JRS=-0.036) ---
Issue-by-issue assessment:
- V1 Issue 1 (incorrect S...",openrouter,deepseek/deepseek-r1-distill-qwen-32b,0.0,False
V2_43,"The algorithm minimizes max_x min_y L(x,y). Uses extra gradient step: x_{k+1/2} = x_k + step, then x_{k+1} using grad at x_{k+1/2}.",Convex-Concave Smooth functions (Extra-Gradient),Minimax (GDA/EG),Variational Inequality / Minty,"Korpelevich, ""The Extragradient Method"", 1976; Daskalakis et al., 2018","Korpelevich, 1976 / Daskalakis et al., 2018; https://arxiv.org/abs/1711.00141",COMPLETED,,517.08,yes,yes,yes,2,2,FAIL,yes,yes,yes,2,3,FAIL,2,3,False,0.267,0.16,0.39,0.39,0.5,0.5,0.333,2,7,2,2,0,3,0.01,,0.0,0.5,6485,6345,-140,"=== CONSENSUS: FAIL ===
Mean Completeness: 2.00
Mean Assumption Score: 3.00
Outlier Judges: none

--- judge_0 (openai/gpt-oss-120b, JRS=0.097) ---
A: The theorem states an O(1/T) rate, but the derived...",openrouter,deepseek/deepseek-r1-distill-qwen-32b,0.0,False
