Task_ID,Problem Statement,Assumptions Used,Processing_Status,Error_Message,Processing_Time_Seconds,V1_Hallucination_Error,V1_Missing_Step,V1_Operator_Error,V1_Completeness_Score,V1_Assumption_Score,V1_Verdict,V2_Hallucination_Error,V2_Missing_Step,V2_Operator_Error,V2_Completeness_Score,V2_Assumption_Score,V2_Verdict,Overall_Score,Total_Iterations,Converged,CRS_Iter_1,CRS_Iter_2,CRS_Iter_3,CRS_Final,ERR_Final,RP_Final,TFP_Final,Total_Errors_V1,Total_Errors_Final,Errors_Fixed,Errors_Introduced,Net_Improvement,Num_Judges,Mean_JRS,Outlier_Judges,Judge_Agreement_ESA,Weighted_CFRS,Initial_Proof_Length,Final_Proof_Length,Proof_Length_Growth,Final_Feedback_Preview,Provider_Used,Model_Used,Judge_Verdict_Variance,Is_Split_Verdict
B005,The algorithm iteratively updates the parameters by computing gradients on randomly sampled minibatches and taking a step in the negative gradient direction with a fixed step size.,Non-convex and smooth functions,COMPLETED,,225.2,no,no,no,5,5,PASS,no,no,no,5,5,PASS,5,1,TRUE,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,3,0.223,,0.0,0.949,14023,14023,0,"=== CONSENSUS: PASS ===
Mean Completeness: 4.74
Mean Assumption Score: 4.74
Outlier Judges: none

--- judge_0 (openai/gpt-oss-20b, JRS=0.034) ---
SYSTEM ERROR: Evaluation parsing failed after all retr...",openrouter,openai/gpt-5,0.0,FALSE
B016,The algorithm iteratively updates the parameters by computing a subgradient using a single randomly sampled data point and taking a step in the negative subgradient direction. It is designed for convex and Lipschitz objective functions.,Non-convex and smooth functions,COMPLETED,,219.92,no,no,yes,5,5,PASS_MINOR,no,no,no,5,5,PASS,5,1,TRUE,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,3,0.6,,0.0,1.0,16435,16435,0,"=== CONSENSUS: PASS ===
Mean Completeness: 5.00
Mean Assumption Score: 5.00
Outlier Judges: none

--- judge_0 (openai/gpt-oss-20b, JRS=0.600) ---
The proof follows the standard non‑convex SGD analysis...",openrouter,openai/gpt-5,0.0,FALSE
B029,The algorithm iteratively updates the full parameter vector by computing the gradient along a randomly selected coordinate direction at each step. It uses this coordinate-wise gradient information to determine the update direction and step size for the entire parameter vector. It is designed for functions satisfying the Polyak-Łojasiewicz condition that are smooth with respect to individual coordinates.,PL and coordinate-wise smooth functions,COMPLETED,,172.57,no,no,yes,4,4,PASS_MINOR,no,no,yes,5,5,PASS_MINOR,4,1,TRUE,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,3,0.223,,0.0,0.949,11794,11794,0,"=== CONSENSUS: PASS_MINOR ===
Mean Completeness: 4.74
Mean Assumption Score: 4.74
Outlier Judges: none

--- judge_0 (openai/gpt-oss-20b, JRS=0.317) ---
The proof is mathematically sound and complete. ...",openrouter,openai/gpt-5,0.0,FALSE
B029,The algorithm iteratively updates parameters by computing stochastic gradients on random data points and applying a proximal operation to the updated iterate. It is designed for convex and smooth objective functions.,convex and smooth functions,COMPLETED,,361.95,no,no,no,5,5,PASS,no,no,no,5,5,PASS,5,1,TRUE,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,3,0.223,,0.0,0.979,14700,14700,0,"=== CONSENSUS: PASS ===
Mean Completeness: 4.85
Mean Assumption Score: 4.95
Outlier Judges: none

--- judge_0 (openai/gpt-oss-20b, JRS=0.034) ---
The proof attempts to establish an O(1/√T) convergence...",openrouter,openai/gpt-5,0.0,FALSE
B037,"The algorithm iteratively updates parameters by taking gradient steps and projecting the result back onto the constraint set at each iteration. It is designed for smooth convex optimization problems with closed, convex and bounded constraint domains.",smooth and convex functions for Constrained minimization problem with closed convex and bounded domain,COMPLETED,,299.07,yes,yes,yes,3,4,CONDITIONAL,no,yes,yes,4,4,PASS_MINOR,3,1,TRUE,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,3,-0.177,,0.0,1.0,16199,16199,0,"=== CONSENSUS: PASS ===
Mean Completeness: 5.00
Mean Assumption Score: 5.00
Outlier Judges: none

--- judge_0 (openai/gpt-oss-20b, JRS=-0.566) ---
The proof is largely correct and follows the standard...",openrouter,openai/gpt-5,0.0,FALSE
V2_13,"The algorithm maintains exponential moving averages m_t and v_t. Update includes bias correction. Crucially, uses v_t_hat = max(v_t_hat_{t-1}, v_t) to ensure monotonicity.",Non-Convex and Smooth functions (AMSGrad),COMPLETED,,325.02,no,no,no,5,5,PASS,no,no,no,5,5,PASS,5,1,True,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,3,0.6,,0.0,1.0,13789,13789,0,"=== CONSENSUS: PASS ===
Mean Completeness: 5.00
Mean Assumption Score: 5.00
Outlier Judges: none

--- judge_0 (openai/gpt-oss-20b, JRS=0.600) ---
The proof establishes a non‑convex convergence rate of...",openrouter,openai/gpt-5,0.0,False
V2_21,The algorithm updates x_{k+1} = prox_{eta*g}(x_k - eta * grad(f)(x_k)). Proof must utilize the non-expansiveness of the proximal operator.,Convex and Smooth f,COMPLETED,,214.75,no,yes,no,5,5,PASS,no,yes,no,5,5,PASS,5,1,True,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,3,0.223,,0.0,0.979,17186,17186,0,"=== CONSENSUS: PASS ===
Mean Completeness: 4.85
Mean Assumption Score: 4.95
Outlier Judges: none

--- judge_0 (openai/gpt-oss-20b, JRS=0.034) ---
The proof attempts to establish global convergence and...",openrouter,openai/gpt-5,0.0,False
V2_28,The algorithm selects coordinate i_k with probability p_i. Update only affects coordinate i_k. Proof must weight expectations by 1/p_i.,Non-Convex and Coordinate-wise Smooth functions (Coordinate Descent),COMPLETED,,138.92,no,no,no,5,5,PASS,no,no,no,5,5,PASS,5,1,True,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,3,0.6,,0.0,1.0,12680,12680,0,"=== CONSENSUS: PASS ===
Mean Completeness: 5.00
Mean Assumption Score: 5.00
Outlier Judges: none

--- judge_0 (openai/gpt-oss-20b, JRS=0.600) ---
The proof is mathematically sound. Lemma~\ref{lem:coor...",openrouter,openai/gpt-5,0.0,False
V2_36,"The algorithm clips gradients: g_t = grad(f)(x_t) / max(1, ||grad(f)(x_t)||/C). Update uses clipped g_t. Uses momentum on clipped gradients.",Non-Convex and Smooth functions (Clipped Adam),COMPLETED,,292.09,no,no,no,0,0,FAIL,no,no,no,0,0,FAIL,2,1,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,3,0.223,,0.0,0.051,16742,16742,0,"=== CONSENSUS: FAIL ===
Mean Completeness: 0.26
Mean Assumption Score: 0.26
Outlier Judges: none

--- judge_0 (openai/gpt-oss-20b, JRS=0.317) ---
SYSTEM ERROR: Evaluation parsing failed after all retr...",openrouter,openai/gpt-5,0.0,False
V2_49,The algorithm maintains a running average of squared gradients v_t = beta * v_{t-1} + (1-beta) * g_t^2. Step size is alpha / sqrt(v_t).,Non-Convex and Smooth functions (RMSProp),COMPLETED,,225.17,no,no,no,3,3,FAIL,no,no,no,3,3,FAIL,2,1,False,0.6,0.0,0.0,0.6,0.0,0.0,1.0,0,0,0,0,0,3,-0.161,,0.0,0.567,12053,12053,0,"=== CONSENSUS: FAIL ===
Mean Completeness: 3.00
Mean Assumption Score: 2.67
Outlier Judges: none

--- judge_0 (openai/gpt-oss-20b, JRS=-0.241) ---
SYSTEM ERROR: Evaluation parsing failed after all ret...",openrouter,openai/gpt-5,0.0,False
